,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,BsmtQual_Ex,TotRmsAbvGrd,SalePrice
205,7,1442,2,500,1424,1442,2,0,5,180500
206,5,1696,1,349,1140,1696,1,0,8,143900
207,4,1100,1,312,1100,1100,1,0,6,141000
208,7,2062,2,454,1157,1180,2,0,7,277000
209,6,1092,2,504,1092,1092,1,0,6,145000
210,5,864,0,0,864,864,1,0,5,98000
211,6,1212,2,460,1212,1212,2,0,6,186000
212,7,1852,2,644,900,932,2,0,7,252678
213,5,990,2,576,990,990,1,0,5,156000
214,6,1392,1,299,689,689,1,0,6,161750
215,5,1236,1,447,1070,1236,1,0,6,134450
216,7,1436,2,484,1436,1436,2,0,8,210000
217,4,1328,1,210,686,810,1,0,8,107000
218,7,1954,2,431,798,1137,1,0,8,311500
219,7,1248,2,438,1248,1248,2,0,5,167240
220,7,1498,2,675,1498,1498,2,0,5,204900
221,6,2267,2,390,1010,1010,2,0,8,200000
222,6,1552,2,434,713,811,2,0,6,179900
223,4,864,2,576,864,864,1,0,4,97000
224,10,2392,3,968,2392,2392,2,1,8,386250
225,5,1302,1,280,630,630,2,0,6,112000
226,7,2520,3,721,1203,1214,2,0,9,290000
227,6,987,1,280,483,483,1,0,5,106000
228,5,912,1,336,912,912,1,0,5,125000
229,7,1555,2,430,1373,1555,2,0,7,192500
230,6,1194,1,312,1194,1194,1,0,6,148000
231,8,2794,3,810,1462,1490,2,0,9,403000
232,6,987,1,288,483,483,1,0,5,94500
233,5,894,1,308,894,894,1,0,5,128200
234,6,1960,2,440,860,860,2,0,8,216500
235,6,987,1,264,483,483,1,0,5,89500
236,7,1414,2,494,1414,1414,2,0,6,185500
237,7,1744,2,457,996,1014,2,0,7,194500
238,8,1694,3,818,1694,1694,2,1,7,318000
239,6,1487,1,220,735,798,1,0,7,113000
240,8,1566,2,750,1566,1566,2,0,7,262500
241,5,866,0,0,686,866,1,0,4,110500
242,5,1440,1,352,540,889,1,0,6,79000
243,6,1217,1,288,626,626,1,0,6,120000
244,7,2110,2,463,948,1222,2,0,8,205000
245,7,1872,2,604,1845,1872,2,0,6,241500
246,6,1928,1,440,1020,908,2,0,9,137000
247,6,1375,2,451,1367,1375,1,0,5,140000
248,7,1668,2,500,840,840,2,0,8,180000
249,6,2144,2,389,1444,1444,2,0,7,277000
250,3,1306,0,0,728,1306,1,0,6,76500
251,8,1625,2,538,1573,1625,2,0,5,235000
252,6,1640,2,520,798,798,2,0,6,173000
253,6,1302,1,309,1302,1302,2,0,7,158000
254,5,1314,1,294,1314,1314,1,0,5,145000
255,7,2291,2,429,975,1005,2,0,8,230000
256,6,1728,2,673,864,864,2,0,7,207500
257,7,1604,2,660,1604,1604,2,0,8,220000
258,7,1792,2,564,963,963,2,0,7,231500
259,5,882,1,308,0,882,1,0,4,97000
260,6,1382,2,884,1362,1382,1,0,6,176000
261,8,2574,3,868,1482,1482,2,1,10,276000
262,6,1212,2,492,506,1212,1,0,6,151000
263,5,1316,2,484,926,926,1,0,6,130000
264,5,764,2,504,680,764,1,0,4,73000
265,6,1422,2,576,1422,1422,2,0,7,175500
266,6,1511,2,413,802,802,2,0,8,185000
267,5,2192,1,240,720,1052,2,0,8,179500
268,5,778,1,924,740,778,1,0,4,120500
269,6,1113,1,504,1143,1113,1,0,6,148000
270,8,1939,3,1053,1095,1095,2,0,8,266000
271,7,1363,2,439,1385,1363,1,0,5,241500
272,8,2270,3,671,1152,1164,2,0,9,290000
273,6,1632,1,338,1240,1632,2,0,6,139000
274,5,816,1,264,816,816,1,0,5,124500
275,7,1548,2,672,952,952,2,0,5,205000
276,7,1560,2,573,1560,1560,2,1,7,201000
277,4,864,2,400,864,864,1,0,4,141000
278,9,2121,3,732,2121,2121,2,1,8,415298
279,7,2022,2,505,1160,1156,2,0,8,192000
280,7,1982,2,575,807,1175,2,0,7,228500
281,6,1262,2,572,1262,1262,2,0,5,185000
282,7,1314,2,626,1314,1314,2,0,6,207500
283,8,1468,3,898,1468,1468,2,0,6,244600
284,6,1575,2,529,1575,1575,2,0,5,179200
285,7,1250,2,528,625,625,2,0,5,164700
286,6,1734,2,440,912,1085,1,0,7,159000
287,4,858,0,0,858,858,1,0,5,88000
288,5,900,1,280,882,900,1,0,5,122000
289,6,1396,1,384,698,698,1,0,7,153575
290,8,1919,2,685,1079,1079,2,0,8,233230
291,5,1716,0,0,780,936,2,0,9,135900
292,5,1716,1,281,768,1148,1,0,8,131000
293,7,2263,2,539,795,1468,2,0,9,235000
294,6,1644,2,418,1416,1644,1,0,7,167000
295,6,1003,2,588,1003,1003,1,0,6,142500
296,5,1558,1,282,910,910,1,0,6,152000
297,7,1950,2,576,975,975,2,0,7,239000
298,6,1743,2,539,702,1041,1,0,7,175000
299,6,1152,1,300,1092,1152,1,0,6,158500
300,5,1336,1,375,1165,1336,1,0,5,157000
301,8,2452,2,683,1028,1210,2,0,9,267000
302,7,1541,3,843,1541,1541,2,0,6,205000
303,5,894,2,552,894,894,1,0,5,149900
304,7,3493,3,870,1470,1675,3,0,10,295000
305,8,2000,3,888,2000,2000,2,0,8,305900
306,7,2243,3,746,700,1122,2,0,8,225000
307,6,1406,0,0,319,1035,1,0,6,89500
308,4,861,2,539,861,861,1,0,4,82500
309,9,1944,3,708,1896,1944,2,1,8,360000
310,6,1501,2,420,697,697,2,0,6,165600
311,6,972,1,240,972,972,1,0,5,132000
312,5,1118,2,410,793,793,1,0,5,119900
313,7,2036,2,513,2136,2036,2,0,8,375000
314,7,1641,2,546,728,832,1,0,6,178000
315,7,1432,2,432,716,716,2,0,6,188500
316,7,2353,2,484,845,1153,2,0,10,260000
317,8,1959,3,1025,1088,1088,2,0,8,270000
318,7,2646,3,656,1347,1372,2,0,9,260000
319,7,1472,2,588,1372,1472,2,0,6,187500
320,9,2596,3,840,1249,1249,3,1,9,342643
321,8,2468,3,872,1136,1136,2,1,10,354000
322,7,2730,2,576,1502,1553,2,0,8,301000
323,3,1163,1,220,1162,1163,1,0,6,126175
324,7,2978,2,564,710,1898,2,0,11,242000
325,5,803,2,360,720,803,1,0,5,87000
326,8,1719,2,473,1719,1719,1,0,6,324000
327,6,1383,1,292,1383,1383,1,0,7,145250
328,6,2134,2,441,844,1445,2,0,10,214500
329,5,1192,1,189,596,596,1,0,6,78000
330,5,1728,1,352,1728,1728,2,0,10,119000
331,5,1056,1,308,1056,1056,1,0,6,139000
332,8,1629,3,880,3206,1629,2,0,7,284000
333,7,1358,2,484,1358,1358,2,0,6,207000
334,6,1638,2,472,943,943,2,0,7,192000
335,5,1786,2,529,1499,1619,2,0,7,228950
336,9,1922,3,676,1922,1922,2,1,8,377426
337,7,1536,2,532,1536,1536,2,0,7,214000
338,7,1621,2,440,1208,1621,2,0,8,202500
339,6,1215,1,297,1215,1215,1,0,6,155000
340,8,1908,2,431,967,993,2,0,9,202900
341,4,841,1,294,721,841,1,0,4,82000
342,3,1040,2,400,0,1040,2,0,6,87500
343,9,1684,2,564,1684,1684,2,1,6,266000
344,5,1112,1,336,536,536,1,0,4,85000
345,6,1577,1,312,972,972,1,0,6,140200
346,6,958,1,301,958,958,1,0,5,151500
347,6,1478,2,498,1478,1478,2,0,6,157500
348,7,1626,2,474,764,764,2,0,6,154000
349,9,2728,3,706,1848,1848,2,1,10,437154
350,9,1869,2,617,1869,1869,2,1,6,318061
351,7,1453,2,445,1453,1453,1,0,6,190000
352,5,1111,1,200,616,616,1,0,5,95000
353,6,720,2,484,624,720,1,0,5,105900
354,6,1595,1,240,940,1192,1,0,6,140000
355,6,1200,2,521,1200,1200,2,0,6,177500
356,6,1167,2,400,1158,1167,2,0,6,173000
357,5,1142,2,528,1142,1142,1,0,6,134000
358,5,1352,1,288,1062,1352,1,0,6,130000
359,8,1924,2,592,1086,1086,2,0,7,280000
360,6,912,2,470,888,912,1,0,5,156000
361,5,1505,1,240,883,988,1,0,8,145000
362,7,1922,2,672,0,495,3,0,7,198500
363,6,987,1,264,483,483,1,0,5,118000
364,6,1574,2,566,796,790,2,0,6,190000
365,5,1344,1,468,672,672,1,0,6,147000
366,6,1394,2,514,1394,1394,1,0,6,159000
367,6,1431,1,296,1099,1431,1,0,6,165000
368,5,1268,1,244,1268,1268,1,0,7,132000
369,5,1287,2,576,1063,1287,1,0,7,162000
370,6,1664,2,460,953,953,2,0,7,172400
371,4,1588,2,680,0,1120,2,0,7,134432
372,6,752,1,264,744,752,1,0,4,125000
373,5,1319,1,270,608,1319,1,0,5,123000
374,7,1928,2,434,847,847,2,0,8,219500
375,1,904,0,0,683,904,0,0,4,61000
376,5,914,2,576,870,914,1,0,5,148000
377,8,2466,2,610,1580,1580,3,0,8,340000
378,9,1856,3,834,1856,1856,1,1,8,394432
379,6,1800,2,463,982,1007,2,0,7,179000
380,5,1691,1,308,1026,1026,2,0,6,127000
381,7,1301,2,572,1293,1301,2,0,5,187750
382,7,1797,2,639,939,939,2,0,8,213500
383,6,784,2,360,784,784,1,0,5,76000
384,6,1953,2,501,1580,1079,2,0,9,240000
385,8,1269,2,430,1256,1269,2,0,6,192000
386,5,1184,0,0,658,658,1,0,8,81000
387,6,1125,1,352,1041,1125,1,0,6,125000
388,7,1479,2,577,1468,1479,2,0,6,191000
389,10,2332,3,846,1682,1742,2,1,9,426000
390,5,1367,1,384,861,961,1,0,7,119000
391,6,1961,2,560,804,804,2,1,7,215000
392,5,882,1,294,0,882,1,0,5,106500
393,4,788,0,0,788,788,1,0,4,100000
394,5,1034,1,240,735,735,1,0,5,109000
395,5,1144,1,596,1144,1144,1,0,6,129000
396,5,894,2,600,894,894,1,0,6,123000
397,5,1812,1,264,864,876,2,0,8,169500
398,5,1077,1,338,961,1077,1,0,6,67000
399,7,1550,2,438,1092,1112,2,0,7,241000
400,8,1288,2,500,1260,1288,1,0,4,245500
401,7,1310,2,400,1310,1310,2,0,6,164990
402,5,672,1,240,672,672,1,0,4,108000
403,8,2263,2,420,1141,1165,2,0,10,258000
404,6,1572,2,373,806,806,2,0,7,168000
405,4,1620,2,490,1281,1620,2,0,8,150000
406,6,1639,1,240,1064,1166,1,0,6,115000
407,6,1680,1,308,840,840,2,0,8,177000
408,7,2172,3,947,1063,1071,2,1,9,280000
409,8,2078,3,836,1034,1050,2,1,8,339750
410,5,1276,1,350,1276,1276,1,0,5,60000
411,5,1056,2,572,1056,1056,1,0,5,145000
412,7,1478,2,484,1470,1478,2,1,7,222000
413,5,1028,2,360,1008,1028,1,0,5,115000
414,7,2097,3,678,1080,1080,2,0,9,228000
415,7,1340,2,396,1340,1340,2,0,6,181134
416,6,1400,2,440,672,672,1,0,6,149500
417,6,2624,3,864,1370,1370,2,0,10,239000
418,5,1134,1,240,756,756,1,0,7,126000
419,5,1056,1,304,1056,1056,1,0,6,142000
420,7,1344,4,784,1344,1344,2,0,8,206300
421,6,1602,2,529,1602,1602,2,0,8,215000
422,5,988,2,520,988,988,1,0,4,113000
423,8,2630,3,696,1470,1470,2,0,8,315000
424,6,1196,1,297,1196,1196,1,0,6,139000
425,7,1389,1,240,651,707,1,0,6,135000
426,7,1644,2,569,1518,1644,2,0,5,275000
427,4,907,1,352,907,907,1,0,5,109008
428,7,1208,2,628,1208,1208,2,0,6,195400
429,6,1412,2,576,1392,1412,2,0,6,175000
430,6,987,1,264,483,483,1,0,4,85400
431,6,1198,0,0,901,1088,1,0,7,79900
432,5,1365,2,440,765,765,1,0,6,122500
433,6,1604,2,470,926,926,2,0,7,181000
434,4,630,0,0,630,630,1,0,3,81000
435,7,1661,2,550,799,827,2,0,6,212000
436,6,1118,2,440,648,734,1,0,6,116000
437,6,904,1,180,884,904,1,0,4,119000
438,5,694,1,352,440,694,1,0,4,90350
439,6,1196,2,528,684,684,1,0,7,110000
440,10,2402,3,672,3094,2402,2,1,10,555000
441,4,1440,0,0,1440,1440,2,0,8,118000
442,5,1573,2,360,1078,1128,2,0,8,162900
443,7,1258,3,648,1258,1258,2,1,6,172500
444,7,1908,2,493,915,933,2,0,8,210000
445,6,1689,2,480,1436,1689,1,0,7,127500
446,6,1888,2,578,1517,1888,2,0,6,190000
447,7,1886,2,431,930,956,2,0,10,199900
448,6,1376,1,198,780,780,2,0,7,119500
449,3,1183,1,308,649,679,1,0,6,120000
450,6,813,1,270,813,813,1,0,5,110000
451,7,1533,2,576,1533,1533,2,0,5,280000
452,6,1756,2,422,872,888,2,1,7,204000
453,8,1590,2,676,768,786,2,0,6,210000
454,5,1728,2,560,1728,1728,2,0,8,188000
455,7,1242,2,528,1242,1242,1,0,6,175500
456,5,1344,3,513,624,624,1,0,7,98000
457,4,1663,2,529,1364,1663,1,0,6,256000
458,8,1666,1,228,588,833,1,0,7,161000
459,5,1203,1,352,709,979,1,0,5,110000
460,8,1935,2,552,832,832,2,0,8,263435
461,7,1135,2,576,560,575,1,0,6,155000
462,5,864,1,360,864,864,1,0,5,62383
463,6,1660,1,240,715,849,1,0,6,188700
464,5,1040,0,0,1040,1040,2,0,5,124000
465,7,1414,2,398,1375,1414,2,0,6,178740
466,7,1277,2,526,1277,1277,1,0,5,167000
467,5,1644,1,312,728,888,1,0,7,146500
468,8,1634,3,866,1626,1634,2,0,7,250000
469,6,1710,2,506,832,832,2,0,7,187000
470,8,1502,2,528,1488,1502,1,0,4,212000
471,7,1969,2,534,808,1161,2,0,8,190000
472,6,1072,2,525,547,1072,1,0,5,148000
473,8,1976,3,908,1976,1976,2,1,7,440000
474,8,1652,2,499,1494,1652,2,0,6,251000
475,5,970,2,624,970,970,1,0,5,132500
476,6,1493,2,508,1478,1493,2,0,7,208900
477,9,2643,3,694,2153,2069,2,0,9,380000
478,8,1718,3,826,1705,1718,2,1,7,297000
479,4,1131,2,672,907,1131,1,0,7,89471
480,9,1850,3,772,1833,1850,2,1,8,326000
481,9,1792,3,874,1792,1792,2,1,6,374000
482,7,1826,1,164,910,916,1,0,7,155000
483,6,1216,2,402,1216,1216,2,1,5,164000
484,5,999,1,264,999,999,1,0,6,132500
485,5,1113,1,264,1113,1113,1,0,5,147000
486,5,1073,2,515,1073,1073,1,0,6,156000
487,5,1484,2,487,1484,1484,2,0,7,175000
488,5,2414,2,520,954,1766,2,0,10,160000
489,4,630,1,286,630,630,1,0,3,86000
490,5,1304,1,336,264,616,1,0,4,115000
491,6,1578,1,240,806,958,1,0,5,133000
492,6,1456,2,429,728,728,2,0,8,172785
493,5,1269,1,308,1269,1269,1,0,6,155000
494,5,886,1,273,190,886,1,0,4,91300
495,4,720,0,0,720,720,1,0,4,34900
496,8,3228,2,546,3200,3228,3,0,10,430000
497,7,1820,1,240,1026,1133,2,0,8,184000
498,5,899,1,288,864,899,1,0,5,130000
499,5,912,1,297,912,912,1,0,5,120000
500,6,1218,1,264,672,672,1,0,7,113000
501,7,1768,2,603,866,866,2,0,7,226700
502,5,1214,2,461,1214,1214,1,0,6,140000
503,7,1801,2,484,1501,1801,2,0,6,289000
504,6,1322,2,440,855,855,2,0,6,147000
505,5,1960,2,400,960,960,2,0,10,124500
506,8,1911,2,471,777,1065,2,0,8,215000
507,6,1218,2,676,1218,1218,2,0,4,208300
508,7,1378,2,360,689,689,2,0,7,161000
509,5,1041,1,270,1041,1041,1,0,6,124500
510,5,1363,1,288,1008,1363,1,0,6,164900
511,7,1368,2,474,1368,1368,2,0,6,202665
512,5,864,2,624,864,864,1,0,5,129900
513,6,1080,2,484,1084,1080,1,0,5,134000
514,5,789,1,200,768,789,1,0,5,96500
515,10,2020,3,900,2006,2020,2,1,9,402861
516,6,2119,2,583,689,1378,2,0,7,158000
517,7,2344,3,889,1264,1277,2,0,7,265000
518,6,1796,2,546,794,882,2,0,7,211000
519,7,2080,1,282,1276,1276,1,0,9,234000
520,4,1294,0,0,0,694,2,0,7,106250
521,6,1244,1,336,1244,1244,1,0,6,150000
522,6,1664,2,420,1004,1004,2,0,7,159000
523,10,4676,3,884,3138,3138,3,1,11,184750
524,7,2398,3,834,1379,1383,2,0,8,315750
525,7,1266,2,453,1257,1266,2,0,6,176000
526,5,928,1,252,928,928,1,0,4,132000
527,9,2713,3,858,1452,1476,2,1,11,446261
528,4,605,0,0,528,605,1,0,5,86000
529,6,2515,2,484,2035,2515,3,0,9,200624
530,6,1509,2,600,1461,1509,2,0,5,175000
531,6,1362,2,502,611,751,2,0,6,128000
532,5,827,1,392,0,827,1,0,5,107500
533,1,334,0,0,0,334,1,0,2,39300
534,8,1414,2,403,707,707,2,1,6,178000
535,5,1347,0,0,1117,820,1,0,5,107500
536,7,1724,2,527,880,880,2,0,8,188000
537,4,864,2,576,864,864,1,0,5,111250
538,5,1159,1,336,1051,1159,1,0,7,158000
539,8,1601,2,670,1581,1601,2,0,6,272000
540,9,1838,3,765,1838,1838,2,1,8,315000
541,8,2285,3,648,969,997,2,0,8,248000
542,7,1680,2,583,1650,1680,2,1,7,213250
543,7,767,1,367,723,767,1,0,4,133000
544,7,1496,2,426,654,664,2,0,7,179665
545,7,2183,3,786,1204,1377,2,0,9,229000
546,6,1635,2,440,1065,915,1,0,6,210000
547,5,768,2,624,768,768,1,0,5,129500
548,5,825,2,720,825,825,1,0,4,125000
549,7,2094,2,615,912,912,2,0,8,263000
550,6,1069,2,440,1069,1069,2,0,4,140000
551,5,928,1,288,928,928,1,0,5,112500
552,8,1717,3,908,1709,1717,2,1,7,255500
553,4,1126,2,520,0,1126,2,0,5,108000
